protein_a,protein_b,length_aa,length_a,length_b,rank_count,peak_score_rank_1,peak_score_rank_2,peak_score_rank_3,peak_score_min,peak_score_max,ptm_rank_1,ptm_rank_2,ptm_rank_3,ptm_min,ptm_max,iptm_rank_1,iptm_rank_2,iptm_rank_3,iptm_min,iptm_max,max_pae_rank_1,max_pae_rank_2,max_pae_rank_3,max_pae_min,max_pae_max,bait,partner,peak_avg,peak_max_norm,peak_min_norm,peak_values_norm,ptm_avg,iptm_avg,ptm_values,iptm_values,uniprot_url
GCR_HUMAN,A1AG2_HUMAN,978,777,201,3,6.0,11.0,10.0,6.0,11.0,0.35,0.36,0.36,0.35,0.36,0.36,0.26,0.23,0.23,0.36,31.71875,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,GCR_HUMAN,0.7000000000000001,0.8,0.6333333333333333,0.8:0.633:0.667,0.35666666666666663,0.2833333333333333,0.35:0.36:0.36,0.36:0.26:0.23,https://www.uniprot.org/uniprotkb/GCR_HUMAN/entry
HEMO_HUMAN,A1AG2_HUMAN,663,462,201,3,10.0,13.0,14.0,10.0,14.0,0.62,0.61,0.63,0.61,0.63,0.23,0.15,0.15,0.15,0.23,31.671875,31.6875,31.703125,31.671875,31.703125,A1AG2_HUMAN,HEMO_HUMAN,0.5888888888888889,0.6666666666666667,0.5333333333333333,0.667:0.567:0.533,0.62,0.17666666666666667,0.62:0.61:0.63,0.23:0.15:0.15,https://www.uniprot.org/uniprotkb/HEMO_HUMAN/entry
IFN14_HUMAN,A1AG2_HUMAN,390,189,201,3,5.0,8.0,12.0,5.0,12.0,0.52,0.5,0.5,0.5,0.52,0.23,0.19,0.17,0.17,0.23,31.65625,31.5,31.609375,31.5,31.65625,A1AG2_HUMAN,IFN14_HUMAN,0.7222222222222223,0.8333333333333334,0.6,0.833:0.733:0.6,0.5066666666666667,0.19666666666666668,0.52:0.5:0.5,0.23:0.19:0.17,https://www.uniprot.org/uniprotkb/IFN14_HUMAN/entry
IFNW1_HUMAN,A1AG2_HUMAN,396,195,201,3,6.0,6.0,9.0,6.0,9.0,0.55,0.52,0.5,0.5,0.55,0.26,0.24,0.17,0.17,0.26,31.640625,31.4375,31.59375,31.4375,31.640625,A1AG2_HUMAN,IFNW1_HUMAN,0.7666666666666666,0.8,0.7,0.8:0.8:0.7,0.5233333333333333,0.22333333333333336,0.55:0.52:0.5,0.26:0.24:0.17,https://www.uniprot.org/uniprotkb/IFNW1_HUMAN/entry
IGHG3_HUMAN,A1AG2_HUMAN,647,446,201,3,6.0,10.0,15.0,6.0,15.0,0.51,0.48,0.38,0.38,0.51,0.57,0.44,0.14,0.14,0.57,31.734375,31.71875,31.71875,31.71875,31.734375,A1AG2_HUMAN,IGHG3_HUMAN,0.6555555555555556,0.8,0.5,0.8:0.667:0.5,0.4566666666666667,0.3833333333333333,0.51:0.48:0.38,0.57:0.44:0.14,https://www.uniprot.org/uniprotkb/IGHG3_HUMAN/entry
KLK10_HUMAN,A1AG2_HUMAN,477,276,201,3,5.0,6.0,6.0,5.0,6.0,0.55,0.55,0.54,0.54,0.55,0.42,0.28,0.27,0.27,0.42,31.71875,31.71875,31.703125,31.703125,31.71875,A1AG2_HUMAN,KLK10_HUMAN,0.8111111111111112,0.8333333333333334,0.8,0.833:0.8:0.8,0.5466666666666667,0.3233333333333333,0.55:0.55:0.54,0.42:0.28:0.27,https://www.uniprot.org/uniprotkb/KLK10_HUMAN/entry
LCAT_HUMAN,A1AG2_HUMAN,641,440,201,3,13.0,16.0,16.0,13.0,16.0,0.64,0.62,0.61,0.61,0.64,0.23,0.17,0.15,0.15,0.23,31.6875,31.671875,31.703125,31.671875,31.703125,A1AG2_HUMAN,LCAT_HUMAN,0.5,0.5666666666666667,0.4666666666666667,0.567:0.467:0.467,0.6233333333333334,0.18333333333333335,0.64:0.62:0.61,0.23:0.17:0.15,https://www.uniprot.org/uniprotkb/LCAT_HUMAN/entry
MMP9_HUMAN,A1AG2_HUMAN,908,707,201,3,7.0,19.0,16.0,7.0,19.0,0.47,0.48,0.47,0.47,0.48,0.34,0.18,0.16,0.16,0.34,31.671875,31.71875,31.703125,31.671875,31.71875,A1AG2_HUMAN,MMP9_HUMAN,0.5333333333333333,0.7666666666666666,0.3666666666666667,0.767:0.367:0.467,0.47333333333333333,0.22666666666666668,0.47:0.48:0.47,0.34:0.18:0.16,https://www.uniprot.org/uniprotkb/MMP9_HUMAN/entry
OTC_HUMAN,A1AG2_HUMAN,555,354,201,3,5.0,6.0,5.0,5.0,6.0,0.61,0.6,0.6,0.6,0.61,0.27,0.24,0.24,0.24,0.27,31.65625,31.6875,31.703125,31.65625,31.703125,A1AG2_HUMAN,OTC_HUMAN,0.8222222222222223,0.8333333333333334,0.8,0.833:0.8:0.833,0.6033333333333334,0.25,0.61:0.6:0.6,0.27:0.24:0.24,https://www.uniprot.org/uniprotkb/OTC_HUMAN/entry
PAI2_HUMAN,A1AG2_HUMAN,616,415,201,3,13.0,11.0,13.0,11.0,13.0,0.61,0.6,0.6,0.6,0.61,0.17,0.17,0.15,0.15,0.17,31.71875,31.6875,31.71875,31.6875,31.71875,A1AG2_HUMAN,PAI2_HUMAN,0.5888888888888889,0.6333333333333333,0.5666666666666667,0.567:0.633:0.567,0.6033333333333334,0.16333333333333333,0.61:0.6:0.6,0.17:0.17:0.15,https://www.uniprot.org/uniprotkb/PAI2_HUMAN/entry
PROC_HUMAN,A1AG2_HUMAN,662,461,201,3,13.0,10.0,13.0,10.0,13.0,0.53,0.55,0.52,0.52,0.55,0.17,0.16,0.17,0.16,0.17,31.71875,31.734375,31.734375,31.71875,31.734375,A1AG2_HUMAN,PROC_HUMAN,0.6,0.6666666666666667,0.5666666666666667,0.567:0.667:0.567,0.5333333333333333,0.16666666666666666,0.53:0.55:0.52,0.17:0.16:0.17,https://www.uniprot.org/uniprotkb/PROC_HUMAN/entry
PTHY_HUMAN,A1AG2_HUMAN,316,115,201,3,3.0,4.0,4.0,3.0,4.0,0.61,0.63,0.62,0.61,0.63,0.26,0.24,0.23,0.23,0.26,31.71875,31.703125,31.6875,31.6875,31.71875,A1AG2_HUMAN,PTHY_HUMAN,0.8777777777777778,0.9,0.8666666666666667,0.9:0.867:0.867,0.62,0.24333333333333332,0.61:0.63:0.62,0.26:0.24:0.23,https://www.uniprot.org/uniprotkb/PTHY_HUMAN/entry
SPTC2_HUMAN,A1AG2_HUMAN,763,562,201,3,18.0,19.0,21.0,18.0,21.0,0.67,0.66,0.66,0.66,0.67,0.19,0.14,0.13,0.13,0.19,31.734375,31.671875,31.703125,31.671875,31.734375,A1AG2_HUMAN,SPTC2_HUMAN,0.3555555555555556,0.4,0.30000000000000004,0.4:0.367:0.3,0.6633333333333334,0.15333333333333335,0.67:0.66:0.66,0.19:0.14:0.13,https://www.uniprot.org/uniprotkb/SPTC2_HUMAN/entry
ST1A4_HUMAN,A1AG2_HUMAN,496,295,201,3,4.0,7.0,7.0,4.0,7.0,0.75,0.72,0.66,0.66,0.75,0.49,0.49,0.33,0.33,0.49,31.640625,31.59375,31.609375,31.59375,31.640625,A1AG2_HUMAN,ST1A4_HUMAN,0.7999999999999999,0.8666666666666667,0.7666666666666666,0.867:0.767:0.767,0.71,0.4366666666666667,0.75:0.72:0.66,0.49:0.49:0.33,https://www.uniprot.org/uniprotkb/ST1A4_HUMAN/entry
TPA_HUMAN,A1AG2_HUMAN,763,562,201,3,10.0,11.0,17.0,10.0,17.0,0.45,0.46,0.45,0.45,0.46,0.24,0.21,0.17,0.17,0.24,31.6875,31.6875,31.703125,31.6875,31.703125,A1AG2_HUMAN,TPA_HUMAN,0.5777777777777778,0.6666666666666667,0.43333333333333335,0.667:0.633:0.433,0.45333333333333337,0.20666666666666667,0.45:0.46:0.45,0.24:0.21:0.17,https://www.uniprot.org/uniprotkb/TPA_HUMAN/entry
VCAM1_HUMAN,A1AG2_HUMAN,940,739,201,3,3.0,23.0,24.0,3.0,24.0,0.46,0.38,0.37,0.37,0.46,0.72,0.16,0.13,0.13,0.72,31.71875,31.734375,31.734375,31.71875,31.734375,A1AG2_HUMAN,VCAM1_HUMAN,0.4444444444444444,0.9,0.19999999999999996,0.9:0.233:0.2,0.4033333333333333,0.33666666666666667,0.46:0.38:0.37,0.72:0.16:0.13,https://www.uniprot.org/uniprotkb/VCAM1_HUMAN/entry
A1AG2_HUMAN,APOC4_HUMAN,328,201,127,3,8.0,5.0,7.0,5.0,8.0,0.59,0.59,0.58,0.58,0.59,0.18,0.17,0.15,0.15,0.18,31.71875,31.71875,31.671875,31.671875,31.71875,A1AG2_HUMAN,APOC4_HUMAN,0.7777777777777778,0.8333333333333334,0.7333333333333334,0.733:0.833:0.767,0.5866666666666666,0.16666666666666666,0.59:0.59:0.58,0.18:0.17:0.15,https://www.uniprot.org/uniprotkb/APOC4_HUMAN/entry
A1AG2_HUMAN,CEBPD_HUMAN,470,201,269,3,3.0,3.0,3.0,3.0,3.0,0.45,0.46,0.46,0.45,0.46,0.32,0.29,0.29,0.29,0.32,31.703125,31.71875,31.703125,31.703125,31.71875,A1AG2_HUMAN,CEBPD_HUMAN,0.9,0.9,0.9,0.9:0.9:0.9,0.4566666666666667,0.3,0.45:0.46:0.46,0.32:0.29:0.29,https://www.uniprot.org/uniprotkb/CEBPD_HUMAN/entry
A1AG2_HUMAN,CLC1B_HUMAN,430,201,229,3,11.0,15.0,16.0,11.0,16.0,0.47,0.47,0.46,0.46,0.47,0.19,0.16,0.14,0.14,0.19,31.71875,31.734375,31.703125,31.703125,31.734375,A1AG2_HUMAN,CLC1B_HUMAN,0.5333333333333333,0.6333333333333333,0.4666666666666667,0.633:0.5:0.467,0.4666666666666666,0.16333333333333333,0.47:0.47:0.46,0.19:0.16:0.14,https://www.uniprot.org/uniprotkb/CLC1B_HUMAN/entry
A1AG2_HUMAN,DPA1_HUMAN,461,201,260,3,6.0,9.0,14.0,6.0,14.0,0.59,0.51,0.46,0.46,0.59,0.44,0.28,0.15,0.15,0.44,31.703125,31.703125,31.734375,31.703125,31.734375,A1AG2_HUMAN,DPA1_HUMAN,0.6777777777777777,0.8,0.5333333333333333,0.8:0.7:0.533,0.52,0.29,0.59:0.51:0.46,0.44:0.28:0.15,https://www.uniprot.org/uniprotkb/DPA1_HUMAN/entry
A1AG2_HUMAN,ERMIN_HUMAN,485,201,284,3,6.0,4.0,10.0,4.0,10.0,0.47,0.47,0.45,0.45,0.47,0.34,0.28,0.2,0.2,0.34,31.71875,31.703125,31.671875,31.671875,31.71875,A1AG2_HUMAN,ERMIN_HUMAN,0.7777777777777778,0.8666666666666667,0.6666666666666667,0.8:0.867:0.667,0.4633333333333333,0.2733333333333334,0.47:0.47:0.45,0.34:0.28:0.2,https://www.uniprot.org/uniprotkb/ERMIN_HUMAN/entry
A1AG2_HUMAN,FHR4_HUMAN,779,201,578,3,12.0,13.0,14.0,12.0,14.0,0.32,0.32,0.31,0.31,0.32,0.22,0.2,0.19,0.19,0.22,31.71875,31.71875,31.734375,31.71875,31.734375,A1AG2_HUMAN,FHR4_HUMAN,0.5666666666666665,0.6,0.5333333333333333,0.6:0.567:0.533,0.31666666666666665,0.20333333333333337,0.32:0.32:0.31,0.22:0.2:0.19,https://www.uniprot.org/uniprotkb/FHR4_HUMAN/entry
A1AG2_HUMAN,FHR5_HUMAN,770,201,569,3,4.0,19.0,18.0,4.0,19.0,0.41,0.33,0.34,0.33,0.41,0.6,0.17,0.17,0.17,0.6,31.671875,31.703125,31.703125,31.671875,31.703125,A1AG2_HUMAN,FHR5_HUMAN,0.5444444444444444,0.8666666666666667,0.3666666666666667,0.867:0.367:0.4,0.36000000000000004,0.31333333333333335,0.41:0.33:0.34,0.6:0.17:0.17,https://www.uniprot.org/uniprotkb/FHR5_HUMAN/entry
A1AG2_HUMAN,GRAN_HUMAN,418,201,217,3,7.0,6.0,6.0,6.0,7.0,0.51,0.51,0.51,0.51,0.51,0.25,0.2,0.2,0.2,0.25,31.625,31.703125,31.71875,31.625,31.71875,A1AG2_HUMAN,GRAN_HUMAN,0.7888888888888889,0.8,0.7666666666666666,0.767:0.8:0.8,0.51,0.21666666666666667,0.51:0.51:0.51,0.25:0.2:0.2,https://www.uniprot.org/uniprotkb/GRAN_HUMAN/entry
A1AG2_HUMAN,HGFA_HUMAN,856,201,655,3,5.0,8.0,5.0,5.0,8.0,0.69,0.66,0.6,0.6,0.69,0.61,0.38,0.38,0.38,0.61,31.65625,31.6875,31.703125,31.65625,31.703125,A1AG2_HUMAN,HGFA_HUMAN,0.8000000000000002,0.8333333333333334,0.7333333333333334,0.833:0.733:0.833,0.65,0.4566666666666667,0.69:0.66:0.6,0.61:0.38:0.38,https://www.uniprot.org/uniprotkb/HGFA_HUMAN/entry
A1AG2_HUMAN,HUTU_HUMAN,877,201,676,3,22.0,22.0,24.0,22.0,24.0,0.75,0.74,0.75,0.74,0.75,0.17,0.15,0.14,0.14,0.17,31.6875,31.6875,31.703125,31.6875,31.703125,A1AG2_HUMAN,HUTU_HUMAN,0.24444444444444446,0.2666666666666667,0.19999999999999996,0.267:0.267:0.2,0.7466666666666667,0.15333333333333335,0.75:0.74:0.75,0.17:0.15:0.14,https://www.uniprot.org/uniprotkb/HUTU_HUMAN/entry
A1AG2_HUMAN,IL18_HUMAN,394,201,193,3,8.0,9.0,11.0,8.0,11.0,0.54,0.53,0.51,0.51,0.54,0.2,0.19,0.18,0.18,0.2,31.6875,31.703125,31.640625,31.640625,31.703125,A1AG2_HUMAN,IL18_HUMAN,0.6888888888888888,0.7333333333333334,0.6333333333333333,0.733:0.7:0.633,0.5266666666666667,0.19000000000000003,0.54:0.53:0.51,0.2:0.19:0.18,https://www.uniprot.org/uniprotkb/IL18_HUMAN/entry
A1AG2_HUMAN,LTBP1_HUMAN,1922,201,1721,3,7.0,10.0,15.0,7.0,15.0,0.26,0.24,0.26,0.24,0.26,0.39,0.31,0.28,0.28,0.39,31.71875,31.734375,31.734375,31.71875,31.734375,A1AG2_HUMAN,LTBP1_HUMAN,0.6444444444444445,0.7666666666666666,0.5,0.767:0.667:0.5,0.25333333333333335,0.32666666666666666,0.26:0.24:0.26,0.39:0.31:0.28,https://www.uniprot.org/uniprotkb/LTBP1_HUMAN/entry
A1AG2_HUMAN,LYSC_HUMAN,349,201,148,3,1.0,5.0,6.0,1.0,6.0,0.84,0.63,0.59,0.59,0.84,0.83,0.34,0.22,0.22,0.83,31.46875,31.484375,31.625,31.46875,31.625,A1AG2_HUMAN,LYSC_HUMAN,0.8666666666666667,0.9666666666666667,0.8,0.967:0.833:0.8,0.6866666666666666,0.4633333333333333,0.84:0.63:0.59,0.83:0.34:0.22,https://www.uniprot.org/uniprotkb/LYSC_HUMAN/entry
A1AG2_HUMAN,METK1_HUMAN,596,201,395,3,5.0,8.0,12.0,5.0,12.0,0.79,0.73,0.7,0.7,0.79,0.5,0.35,0.28,0.28,0.5,31.578125,31.640625,31.6875,31.578125,31.6875,A1AG2_HUMAN,METK1_HUMAN,0.7222222222222223,0.8333333333333334,0.6,0.833:0.733:0.6,0.7399999999999999,0.37666666666666665,0.79:0.73:0.7,0.5:0.35:0.28,https://www.uniprot.org/uniprotkb/METK1_HUMAN/entry
A1AG2_HUMAN,MOGT1_HUMAN,536,201,335,3,12.0,15.0,22.0,12.0,22.0,0.58,0.58,0.57,0.57,0.58,0.16,0.16,0.11,0.11,0.16,31.734375,31.65625,31.5625,31.5625,31.734375,A1AG2_HUMAN,MOGT1_HUMAN,0.45555555555555555,0.6,0.2666666666666667,0.6:0.5:0.267,0.5766666666666667,0.14333333333333334,0.58:0.58:0.57,0.16:0.16:0.11,https://www.uniprot.org/uniprotkb/MOGT1_HUMAN/entry
A1AG2_HUMAN,NR0B2_HUMAN,458,201,257,3,6.0,6.0,5.0,5.0,6.0,0.51,0.51,0.49,0.49,0.51,0.27,0.25,0.25,0.25,0.27,31.703125,31.65625,31.703125,31.65625,31.703125,A1AG2_HUMAN,NR0B2_HUMAN,0.8111111111111112,0.8333333333333334,0.8,0.8:0.8:0.833,0.5033333333333333,0.25666666666666665,0.51:0.51:0.49,0.27:0.25:0.25,https://www.uniprot.org/uniprotkb/NR0B2_HUMAN/entry
A1AG2_HUMAN,OBP2A_HUMAN,371,201,170,3,7.0,7.0,18.0,7.0,18.0,0.55,0.55,0.52,0.52,0.55,0.24,0.22,0.14,0.14,0.24,31.609375,31.65625,31.71875,31.609375,31.71875,A1AG2_HUMAN,OBP2A_HUMAN,0.6444444444444444,0.7666666666666666,0.4,0.767:0.767:0.4,0.54,0.19999999999999998,0.55:0.55:0.52,0.24:0.22:0.14,https://www.uniprot.org/uniprotkb/OBP2A_HUMAN/entry
A1AG2_HUMAN,OBP2B_HUMAN,371,201,170,3,6.0,6.0,10.0,6.0,10.0,0.56,0.56,0.56,0.56,0.56,0.22,0.21,0.2,0.2,0.22,31.578125,31.609375,31.609375,31.578125,31.609375,A1AG2_HUMAN,OBP2B_HUMAN,0.7555555555555555,0.8,0.6666666666666667,0.8:0.8:0.667,0.56,0.21,0.56:0.56:0.56,0.22:0.21:0.2,https://www.uniprot.org/uniprotkb/OBP2B_HUMAN/entry
A1AG2_HUMAN,OLFM4_HUMAN,711,201,510,3,9.0,5.0,7.0,5.0,9.0,0.44,0.46,0.44,0.44,0.46,0.37,0.29,0.26,0.26,0.37,31.671875,31.734375,31.703125,31.671875,31.734375,A1AG2_HUMAN,OLFM4_HUMAN,0.7666666666666666,0.8333333333333334,0.7,0.7:0.833:0.767,0.4466666666666667,0.30666666666666664,0.44:0.46:0.44,0.37:0.29:0.26,https://www.uniprot.org/uniprotkb/OLFM4_HUMAN/entry
A1AG2_HUMAN,PXDN_HUMAN,1680,201,1479,3,7.0,11.0,20.0,7.0,20.0,0.55,0.56,0.55,0.55,0.56,0.59,0.51,0.23,0.23,0.59,31.6875,31.71875,31.71875,31.6875,31.71875,A1AG2_HUMAN,PXDN_HUMAN,0.5777777777777778,0.7666666666666666,0.33333333333333337,0.767:0.633:0.333,0.5533333333333333,0.44333333333333336,0.55:0.56:0.55,0.59:0.51:0.23,https://www.uniprot.org/uniprotkb/PXDN_HUMAN/entry
A1AG2_HUMAN,SO1B1_HUMAN,892,201,691,3,13.0,18.0,20.0,13.0,20.0,0.66,0.65,0.65,0.65,0.66,0.22,0.18,0.16,0.16,0.22,31.71875,31.734375,31.71875,31.71875,31.734375,A1AG2_HUMAN,SO1B1_HUMAN,0.43333333333333335,0.5666666666666667,0.33333333333333337,0.567:0.4:0.333,0.6533333333333333,0.18666666666666668,0.66:0.65:0.65,0.22:0.18:0.16,https://www.uniprot.org/uniprotkb/SO1B1_HUMAN/entry
A1AG2_HUMAN,SPIT4_HUMAN,300,201,99,3,11.0,9.0,10.0,9.0,11.0,0.63,0.63,0.63,0.63,0.63,0.19,0.19,0.17,0.17,0.19,31.671875,31.71875,31.703125,31.671875,31.71875,A1AG2_HUMAN,SPIT4_HUMAN,0.6666666666666666,0.7,0.6333333333333333,0.633:0.7:0.667,0.63,0.18333333333333335,0.63:0.63:0.63,0.19:0.19:0.17,https://www.uniprot.org/uniprotkb/SPIT4_HUMAN/entry
A1AG2_HUMAN,TSPO_HUMAN,370,201,169,3,9.0,13.0,13.0,9.0,13.0,0.57,0.54,0.5,0.5,0.57,0.26,0.21,0.15,0.15,0.26,31.65625,31.671875,31.265625,31.265625,31.671875,A1AG2_HUMAN,TSPO_HUMAN,0.611111111111111,0.7,0.5666666666666667,0.7:0.567:0.567,0.5366666666666666,0.20666666666666667,0.57:0.54:0.5,0.26:0.21:0.15,https://www.uniprot.org/uniprotkb/TSPO_HUMAN/entry
A1AG2_HUMAN,VGFR3_HUMAN,1564,201,1363,3,23.0,24.0,24.0,23.0,24.0,0.34,0.34,0.35,0.34,0.35,0.2,0.19,0.19,0.19,0.2,31.734375,31.71875,31.734375,31.71875,31.734375,A1AG2_HUMAN,VGFR3_HUMAN,0.21111111111111105,0.23333333333333328,0.19999999999999996,0.233:0.2:0.2,0.3433333333333333,0.19333333333333336,0.34:0.34:0.35,0.2:0.19:0.19,https://www.uniprot.org/uniprotkb/VGFR3_HUMAN/entry
A1AG2_HUMAN,WFDC6_HUMAN,332,201,131,3,6.0,4.0,7.0,4.0,7.0,0.61,0.58,0.57,0.57,0.61,0.25,0.19,0.17,0.17,0.25,31.65625,31.65625,31.609375,31.609375,31.65625,A1AG2_HUMAN,WFDC6_HUMAN,0.8111111111111112,0.8666666666666667,0.7666666666666666,0.8:0.867:0.767,0.5866666666666666,0.20333333333333334,0.61:0.58:0.57,0.25:0.19:0.17,https://www.uniprot.org/uniprotkb/WFDC6_HUMAN/entry
A1AG2_HUMAN,ZN638_HUMAN,2179,201,1978,3,11.0,9.0,11.0,9.0,11.0,0.28,0.26,0.27,0.26,0.28,0.41,0.29,0.28,0.28,0.41,31.703125,31.71875,31.71875,31.703125,31.71875,A1AG2_HUMAN,ZN638_HUMAN,0.6555555555555556,0.7,0.6333333333333333,0.633:0.7:0.633,0.27,0.32666666666666666,0.28:0.26:0.27,0.41:0.29:0.28,https://www.uniprot.org/uniprotkb/ZN638_HUMAN/entry
A1AG2_HUMAN,ABCG2_HUMAN,856,201,655,3,10.0,18.0,22.0,10.0,22.0,0.67,0.66,0.64,0.64,0.67,0.27,0.18,0.16,0.16,0.27,31.71875,31.6875,31.71875,31.6875,31.71875,A1AG2_HUMAN,ABCG2_HUMAN,0.4444444444444445,0.6666666666666667,0.2666666666666667,0.667:0.4:0.267,0.6566666666666667,0.20333333333333334,0.67:0.66:0.64,0.27:0.18:0.16,https://www.uniprot.org/uniprotkb/ABCG2_HUMAN/entry
A1AG2_HUMAN,AKIR2_HUMAN,404,201,203,3,3.0,5.0,4.0,3.0,5.0,0.52,0.52,0.52,0.52,0.52,0.29,0.24,0.23,0.23,0.29,31.703125,31.71875,31.703125,31.703125,31.71875,A1AG2_HUMAN,AKIR2_HUMAN,0.8666666666666667,0.9,0.8333333333333334,0.9:0.833:0.867,0.52,0.25333333333333335,0.52:0.52:0.52,0.29:0.24:0.23,https://www.uniprot.org/uniprotkb/AKIR2_HUMAN/entry
